from,to,date,rating,,,,,,,,,,,,,,,,,,,,
kh,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
wh,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kh,wh,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kh,fedr,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p10,fedr,30_01_26,3,,,,,,,,,,,,,,,,,,,,
fedr,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kh,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,aogo,30_01_26,3,,,,,,,,,,,,,,,,,,,,
p11,kw,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,frs,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,hoi,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,sgsob,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,su,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,hls,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,dfollc,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,boe,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,potuk,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,got,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,whnec,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p11,msco,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,frs,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,hoi,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,sgsob,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,su,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,hls,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,dfollc,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,boe,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,potuk,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,got,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,whnec,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,msco,30_01_26,1,,,,,,,,,,,,,,,,,,,,
kw,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
frs,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
hoi,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
sgsob,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
su,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
hls,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
dfollc,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
boe,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
potuk,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
got,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
whnec,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
msco,aogo,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p12,suc,30_01_26,3,,,,,,,,,,,,,,,,,,,,
p12,lw,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p12,r,30_01_26,3,,,,,,,,,,,,,,,,,,,,
p12,tx,30_01_26,3,,,,,,,,,,,,,,,,,,,,
lw,suc,30_01_26,1,,,,,,,,,,,,,,,,,,,,
lw,r,30_01_26,1,,,,,,,,,,,,,,,,,,,,
lw,tx,30_01_26,1,,,,,,,,,,,,,,,,,,,,
suc,r,30_01_26,1,,,,,,,,,,,,,,,,,,,,
suc,tx,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p13,ice,30_01_26,3,,,,,,,,,,,,,,,,,,,,
p13,alpr,30_01_26,2,,,,,,,,,,,,,,,,,,,,
p13,iceoff,30_01_26,1,,,,,,,,,,,,,,,,,,,,
ice,alpr,30_01_26,2,,,,,,,,,,,,,,,,,,,,
ice,iceoff,30_01_26,1,,,,,,,,,,,,,,,,,,,,
alpr,iceoff,30_01_26,2,,,,,,,,,,,,,,,,,,,,
p14,t,30_01_26,3,,,,,,,,,,,,,,,,,,,,
p14,can,30_01_26,2,,,,,,,,,,,,,,,,,,,,
p14,gulf,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p14,boglex,30_01_26,2,,,,,,,,,,,,,,,,,,,,
p14,usa,30_01_26,1,,,,,,,,,,,,,,,,,,,,
t,can,30_01_26,2,,,,,,,,,,,,,,,,,,,,
t,gulf,30_01_26,1,,,,,,,,,,,,,,,,,,,,
t,boglex,30_01_26,2,,,,,,,,,,,,,,,,,,,,
t,usa,30_01_26,1,,,,,,,,,,,,,,,,,,,,
can,gulf,30_01_26,2,,,,,,,,,,,,,,,,,,,,
can,boglex,30_01_26,1,,,,,,,,,,,,,,,,,,,,
can,usa,30_01_26,2,,,,,,,,,,,,,,,,,,,,
gulf,usa,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p15,caaa,30_01_26,3,,,,,,,,,,,,,,,,,,,,
p15,r,30_01_26,3,,,,,,,,,,,,,,,,,,,,
p15,d,30_01_26,3,,,,,,,,,,,,,,,,,,,,
p15,dohs,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p15,cogu,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p15,cong,30_01_26,1,,,,,,,,,,,,,,,,,,,,
r,caaa,30_01_26,1,,,,,,,,,,,,,,,,,,,,
d,caaa,30_01_26,1,,,,,,,,,,,,,,,,,,,,
dohs,caaa,30_01_26,1,,,,,,,,,,,,,,,,,,,,
cogu,caaa,30_01_26,1,,,,,,,,,,,,,,,,,,,,
cong,caaa,30_01_26,1,,,,,,,,,,,,,,,,,,,,
r,d,30_01_26,1,,,,,,,,,,,,,,,,,,,,
r,cong,30_01_26,1,,,,,,,,,,,,,,,,,,,,
d,cong,30_01_26,1,,,,,,,,,,,,,,,,,,,,
cong,dohs,30_01_26,1,,,,,,,,,,,,,,,,,,,,
dohs,cogu,30_01_26,1,,,,,,,,,,,,,,,,,,,,
r,dohs,30_01_26,1,,,,,,,,,,,,,,,,,,,,
d,dohs,30_01_26,1,,,,,,,,,,,,,,,,,,,,
p16,pair,29_01_26,3,,,,,,,,,,,,,,,,,,,,
p16,cs,29_01_26,1,,,,,,,,,,,,,,,,,,,,
p16,mex,29_01_26,1,,,,,,,,,,,,,,,,,,,,
p16,usa,29_01_26,1,,,,,,,,,,,,,,,,,,,,
pair,cs,29_01_26,1,,,,,,,,,,,,,,,,,,,,
pair,mex,29_01_26,1,,,,,,,,,,,,,,,,,,,,
pair,usa,29_01_26,1,,,,,,,,,,,,,,,,,,,,
cs,mex,29_01_26,1,,,,,,,,,,,,,,,,,,,,
mex,usa,29_01_26,1,,,,,,,,,,,,,,,,,,,,
cs,usa,29_01_26,1,,,,,,,,,,,,,,,,,,,,
p17,if,29_01_26,3,,,,,,,,,,,,,,,,,,,,
p17,t,29_01_26,3,,,,,,,,,,,,,,,,,,,,
p17,nas,29_01_26,3,,,,,,,,,,,,,,,,,,,,
p17,jp,29_01_26,2,,,,,,,,,,,,,,,,,,,,
p17,fedr,29_01_26,2,,,,,,,,,,,,,,,,,,,,
p17,usa,29_01_26,1,,,,,,,,,,,,,,,,,,,,
jp,if,29_01_26,2,,,,,,,,,,,,,,,,,,,,
jp,t,29_01_26,2,,,,,,,,,,,,,,,,,,,,
jp,nas,29_01_26,2,,,,,,,,,,,,,,,,,,,,
fedr,if,29_01_26,2,,,,,,,,,,,,,,,,,,,,
fedr,t,29_01_26,2,,,,,,,,,,,,,,,,,,,,
usa,if,29_01_26,1,,,,,,,,,,,,,,,,,,,,
usa,t,29_01_26,1,,,,,,,,,,,,,,,,,,,,
usa,nas,29_01_26,1,,,,,,,,,,,,,,,,,,,,
jp,fedr,29_01_26,3,,,,,,,,,,,,,,,,,,,,
jp,usa,29_01_26,2,,,,,,,,,,,,,,,,,,,,
fedr,usa,29_01_26,2,,,,,,,,,,,,,,,,,,,,
usa,if,29_01_26,1,,,,,,,,,,,,,,,,,,,,
usa,t,29_01_26,1,,,,,,,,,,,,,,,,,,,,
usa,nas,29_01_26,1,,,,,,,,,,,,,,,,,,,,
p18,aogo,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p18,cor,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p18,cmcd,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p18,doj,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p18,nfed,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p18,ap,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p18,minn,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p18,cal,28_01_26,2,,,,,,,,,,,,,,,,,,,,
cmcd,aogo,28_01_26,1,,,,,,,,,,,,,,,,,,,,
cmcd,cor,28_01_26,1,,,,,,,,,,,,,,,,,,,,
doj,aogo,28_01_26,1,,,,,,,,,,,,,,,,,,,,
nfed,aogo,28_01_26,1,,,,,,,,,,,,,,,,,,,,
doj,cor,28_01_26,1,,,,,,,,,,,,,,,,,,,,
nfed,cor,28_01_26,1,,,,,,,,,,,,,,,,,,,,
minn,cor,28_01_26,2,,,,,,,,,,,,,,,,,,,,
cal,cor,28_01_26,2,,,,,,,,,,,,,,,,,,,,
ap,cor,28_01_26,1,,,,,,,,,,,,,,,,,,,,
cmcd,doj,28_01_26,1,,,,,,,,,,,,,,,,,,,,
cmcd,nfed,28_01_26,1,,,,,,,,,,,,,,,,,,,,
cmcd,ap,28_01_26,1,,,,,,,,,,,,,,,,,,,,
doj,ap,28_01_26,1,,,,,,,,,,,,,,,,,,,,
nfed,ap,28_01_26,1,,,,,,,,,,,,,,,,,,,,
minn,cal,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p19,iv,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p19,sp500,28_01_26,1,,,,,,,,,,,,,,,,,,,,
iv,sp500,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p20,le,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p20,ice,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p20,jacfre,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p20,fedil,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p20,mipo,28_01_26,2,,,,,,,,,,,,,,,,,,,,
jacfre,ice,28_01_26,2,,,,,,,,,,,,,,,,,,,,
jacfre,le,28_01_26,2,,,,,,,,,,,,,,,,,,,,
mipo,ice,28_01_26,2,,,,,,,,,,,,,,,,,,,,
mipo,le,28_01_26,2,,,,,,,,,,,,,,,,,,,,
fedil,le,28_01_26,1,,,,,,,,,,,,,,,,,,,,
jacfre,mipo,28_01_26,3,,,,,,,,,,,,,,,,,,,,
jacfre,fedil,28_01_26,2,,,,,,,,,,,,,,,,,,,,
mipo,fedil,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p21,fball,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p21,bibe,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p21,pfhof,28_01_26,2,,,,,,,,,,,,,,,,,,,,
fball,bibe,28_01_26,1,,,,,,,,,,,,,,,,,,,,
fball,pfhof,28_01_26,2,,,,,,,,,,,,,,,,,,,,
bibe,pfhof,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p22,irn,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p22,vene,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p22,pair,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p22,nas,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p22,abli,28_01_26,1,,,,,,,,,,,,,,,,,,,,
irn,nas,28_01_26,2,,,,,,,,,,,,,,,,,,,,
irn,pair,28_01_26,2,,,,,,,,,,,,,,,,,,,,
vene,pair,28_01_26,2,,,,,,,,,,,,,,,,,,,,
abli,nas,28_01_26,1,,,,,,,,,,,,,,,,,,,,
abli,irn,28_01_26,2,,,,,,,,,,,,,,,,,,,,
irn,vene,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p23,suc,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p23,le,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p23,ta,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p23,af,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p23,nas,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p23,ep,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p23,sec,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p23,commofpen,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p23,staga,28_01_26,1,,,,,,,,,,,,,,,,,,,,
staga,suc,28_01_26,1,,,,,,,,,,,,,,,,,,,,
staga,le,28_01_26,1,,,,,,,,,,,,,,,,,,,,
staga,ta,28_01_26,1,,,,,,,,,,,,,,,,,,,,
staga,af,28_01_26,1,,,,,,,,,,,,,,,,,,,,
staga,nas,28_01_26,1,,,,,,,,,,,,,,,,,,,,
staga,ep,28_01_26,1,,,,,,,,,,,,,,,,,,,,
staga,sec,28_01_26,1,,,,,,,,,,,,,,,,,,,,
commofpen,suc,28_01_26,1,,,,,,,,,,,,,,,,,,,,
staga,commofpen,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p24,suc,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p24,af,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p24,ta,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p24,ep,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p24,nas,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p24,sec,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p24,le,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p24,toti,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p24,wis,28_01_26,1,,,,,,,,,,,,,,,,,,,,
suc,toti,28_01_26,1,,,,,,,,,,,,,,,,,,,,
af,toti,28_01_26,1,,,,,,,,,,,,,,,,,,,,
ta,toti,28_01_26,1,,,,,,,,,,,,,,,,,,,,
ep,toti,28_01_26,1,,,,,,,,,,,,,,,,,,,,
nas,toti,28_01_26,1,,,,,,,,,,,,,,,,,,,,
sec,toti,28_01_26,1,,,,,,,,,,,,,,,,,,,,
le,toti,28_01_26,1,,,,,,,,,,,,,,,,,,,,
suc,wis,28_01_26,1,,,,,,,,,,,,,,,,,,,,
toti,wis,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p25,suc,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p25,af,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p25,ta,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p25,ep,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p25,nas,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p25,sec,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p25,usm,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p25,mial,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p25,sedu,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p25,racadu,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p25,fn,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p25,w7cd,28_01_26,1,,,,,,,,,,,,,,,,,,,,
mial,suc,28_01_26,1,,,,,,,,,,,,,,,,,,,,
mial,af,28_01_26,1,,,,,,,,,,,,,,,,,,,,
mial,ta,28_01_26,1,,,,,,,,,,,,,,,,,,,,
mial,ep,28_01_26,1,,,,,,,,,,,,,,,,,,,,
mial,nas,28_01_26,1,,,,,,,,,,,,,,,,,,,,
mial,sec,28_01_26,1,,,,,,,,,,,,,,,,,,,,
sedu,af,28_01_26,1,,,,,,,,,,,,,,,,,,,,
racadu,af,28_01_26,1,,,,,,,,,,,,,,,,,,,,
usm,nas,28_01_26,1,,,,,,,,,,,,,,,,,,,,
sedu,racadu,28_01_26,1,,,,,,,,,,,,,,,,,,,,
racadu,fn,28_01_26,1,,,,,,,,,,,,,,,,,,,,
mial,w7cd,28_01_26,1,,,,,,,,,,,,,,,,,,,,
mial,usm,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p26,suc,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p26,af,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p26,ta,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p26,ep,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p26,sec,28_01_26,3,,,,,,,,,,,,,,,,,,,,
p26,jeel,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p26,erbas,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p26,robr,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p26,krri,28_01_26,2,,,,,,,,,,,,,,,,,,,,
p26,ushor,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p26,pat,28_01_26,1,,,,,,,,,,,,,,,,,,,,
p26,ind,28_01_26,1,,,,,,,,,,,,,,,,,,,,
