from,to,date,rating
p98,rfo,16_01_25,1
p98,usdoa,16_01_25,1
rfo,usdoa,16_01_25,1
usdoa,aogo,16_01_25,1
rfo,aogo,16_01_25,1
p98,aogo,16_01_25,3
p99,mb,16_01_25,1
p99,usdoa,16_01_25,1
mb,usdoa,16_01_25,1
usdoa,aogo,16_01_25,1
mb,aogo,16_01_25,1
p99,aogo,16_01_25,3
p100,fbi,17_01_25,2
p100,deio,17_01_25,2
fbi,cor,17_01_25,2
deio,cor,17_01_25,2
p100,cor,17_01_25,3
p100,caaa,17_01_25,3
p101,xj,17_01_25,1
p101,chn,17_01_25,1
xj,chn,17_01_25,1
p101,t,17_01_25,3
p101,fy,17_01_25,3
p101,ttb,17_01_25,3
p101,pair,17_01_25,3
p101,nas,17_01_25,3
p102,scot,17_01_25,3
p102,ttb,17_01_25,3
scot,lp,17_01_25,3
p102,lp,17_01_25,3
p103,usa,17_01_25,3
p103,capr,17_01_25,3
p103,coa,17_01_25,3
p103,rr,17_01_25,1
p103,le,17_01_25,1
p103,frs,17_01_25,1
p103,pm,17_01_25,3
p103,maga,17_01_25,3
capr,pm,17_01_25,1
coa,pm,17_01_25,1
rr,capr,17_01_25,1
le,pm,17_01_25,1
frs,pm,17_01_25,1
usa,maga,17_01_25,1
usa,pm,17_01_25,1
p104,malo,18_01_25,1
p104,usaf,18_01_25,1
malo,usaf,18_01_25,1
usaf,aogo,18_01_25,1
malo,aogo,18_01_25,1
p104,aogo,18_01_25,3
p105,trumpm,18_01_25,1
p105,af,18_01_25,3
p105,caaa,18_01_25,3
p106,hist,18_01_25,3
p106,caaa,18_01_25,3
p107,ps,18_01_25,1
p107,usdoed,18_01_25,1
ps,usdoed,18_01_25,1
usdoed,aogo,18_01_25,1
ps,aogo,18_01_25,1
p107,aogo,18_01_25,3
p108,wc,18_01_25,1
p108,faf,18_01_25,1
wc,faf,18_01_25,1
p108,mc,18_01_25,3
p109,nyj,19_01_25,2
p109,nyc,19_01_25,2
nyj,cor,19_01_25,2
nyc,cor,19_01_25,2
p109,cor,19_01_25,3
p109,lp,19_01_25,3
p110,tito,19_01_25,1
p110,ttb,19_01_25,3
p111,isr,19_01_25,1
p111,ham,19_01_25,2
p111,war,19_01_25,3
p111,pair,19_01_25,3
p112,aogo,19_01_25,3
p113,tito,19_01_25,1
p113,usg,19_01_25,1
p113,ttb,19_01_25,3
p113,nas,19_01_25,3
p113,ta,19_01_25,3
usg,tito,19_01_25,1
p114,ja,21_01_25,2
p114,mm,21_01_25,2
p114,bh,21_01_25,2
p114,kb,21_01_25,2
p114,pcsfn,21_01_25,2
p114,niac,21_01_25,2
p114,wcs,21_01_25,2
p114,peco,21_01_25,2
ja,pcsfn,21_01_25,2
mm,niac,21_01_25,2
bh,wcs,21_01_25,2
kb,peco,21_01_25,2
p114,aogo,21_01_25,3
p114,pa,21_01_25,3
p115,ru,22_01_25,1
p115,lm,22_01_25,1
p115,par,22_01_25,3
p115,lp,22_01_25,3
ru,par,22_01_25,1
p116,nb,22_01_25,2
p116,nps,22_01_25,2
p116,cm,22_01_25,3
p116,pa,22_01_25,3
p117,rus,22_01_25,1
p117,venepeo,22_01_25,1
venepeo,rus,22_01_25,1
p117,war,22_01_25,3
p117,ta,22_01_25,3
p117,t,22_01_25,3
rus,ta,22_01_25,2
rus,t,22_01_25,2
p118,metr,22_01_25,1
p118,w,22_01_25,3
p119,msnbc,23_01_25,2
p119,cnn,23_01_25,2
msnbc,mc,23_01_25,2
cnn,mc,23_01_25,2
p119,mc,23_01_25,3
p119,fn,23_01_25,3
p120,lbb,23_01_25,1
p120,usagm,23_01_25,1
lbb,usagm,23_01_25,1
usagm,aogo,23_01_25,1
lbb,aogo,23_01_25,1
p120,aogo,23_01_25,3
p121,ap,23_01_25,1
p121,eu,23_01_25,3
ap,eu,23_01_25,1
eu,aogo,23_01_25,1
ap,aogo,23_01_25,1
p121,aogo,23_01_25,3
p122,sc,23_01_25,1
p122,usss,23_01_25,1
sc,usss,23_01_25,1
usss,aogo,23_01_25,1
sc,aogo,23_01_25,1
p122,aogo,23_01_25,3
p123,fone,23_01_25,1
p123,sh,23_01_25,1
sh,fone,23_01_25,1
p124,jvd,23_01_25,1
p124,wt,23_01_25,2
p124,nj,23_01_25,1
jvd,wt,23_01_25,1
p124,ep,23_01_25,3
p125,bl,24_01_25,1
p125,tva,24_01_25,3
bl,tva,24_01_25,1
p126,norc,24_01_25,3
p126,cal,24_01_25,3
p126,caaa,24_01_25,3
p127,norc,24_01_25,3
p127,caaa,24_01_25,3
p128,jano,24_01_25,1
p128,usg,24_01_25,1
p128,nz,24_01_25,1
p128,sam,24_01_25,1
jano,aogo,24_01_25,1
usg,aogo,24_01_25,1
p128,aogo,24_01_25,3
p129,hist,24_01_25,3
p129,af,24_01_25,3
p129,caaa,24_01_25,3
p130,phe,25_01_25,1
phe,aogo,25_01_25,1
p130,aogo,25_01_25,3
p131,rm,25_01_25,2
p131,msnbc,25_01_25,2
p131,cnn,25_01_25,2
rm,mc,25_01_25,2
msnbc,mc,25_01_25,2
cnn,mc,25_01_25,2
p131,mc,25_01_25,3
p131,pa,25_01_25,3
p132,nv,25_01_25,3
